Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,513330,353.19,333.38,21715.43,21483.82,1,0,19.810000000000002,1034.0680952380953,0.9433333333333335,July 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,32,5191744,2166.56,1480.38,150660.23,145724.53,2,9.33,686.1799999999998,4708.1321875,21.443124999999995,July 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,25,4386473,2692.38,2138.44,186630.06,183463.51,0,0,553.94,7465.2024,22.157600000000002,July 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,9,829737,388.25,210.49,20404.37,20825.41,0,0,177.76,2267.152222222222,19.75111111111111,July 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,25,500402,3552.06,9959.61,89117.44,106812.63,0,0,-6407.550000000001,3564.6976,-256.302,July 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,366728,388.47,564.95,17079.97,17592.83,2,25.81,-176.48000000000002,776.3622727272727,-8.021818181818183,July 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,134,11788414,9540.92,14687.24,485607.5,495902.72,5,35.14,-5146.32,3623.936567164179,-38.40537313432836,July 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2698992,158.27,96.63,16764.79,16225.78,0,0,61.640000000000015,670.5916000000001,2.4656000000000007,July 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2900909,85.89,36.61,13401.98,12989.08,0,0,49.28,1340.1979999999999,4.928,July 2022
Sub Total - IV (i+ii),,,35,5599901,244.16,133.24,30166.77,29214.86,0,0,110.91999999999999,861.9077142857143,3.1691428571428566,July 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Index Funds,Open ended Schemes,Other Schemes,95,2751698,7779.8,1000.57,94589.49,88605.98,0,0,6779.2300000000005,995.6788421052632,71.36031578947369,July 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,4642602,0.96,457.71,20037.76,19987.66,0,0,-456.75,1821.6145454545454,-41.52272727272727,July 2022
Other ETFs,Open ended Schemes,Other Schemes,126,11534916,11021.11,3386.08,436116.37,413003.15,0,0,7635.030000000001,3461.2410317460317,60.5954761904762,July 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,46,1260136,564.3,251.25,21175.64,20135.89,0,0,313.04999999999995,460.34,6.805434782608694,July 2022
Sub Total - V (i+ii+iii+iv),,,278,20189352,19366.17,5095.61,571919.25,541732.67,0,0,14270.559999999998,2057.263489208633,51.33294964028776,July 2022
Total A-Open ended Schemes,,,1123,135076748,829080.04,806016.55,3749626.29,3752766.34,15,282.07,23063.48999999999,3338.937034728406,20.5373909171861,July 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,94,89730,1430.03,831.21,14486.62,13715.77,0,0,598.8199999999999,154.11297872340427,6.370425531914893,July 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,10,16229,0,0,814.44,809.02,0,0,0,81.444,0.0,July 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2046.44,2042.88,0,0,0,255.805,0.0,July 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2022
Sub Total (i+ii+iii+iv),,,112,106039,1430.03,831.21,17347.5,16567.67,0,0,598.8199999999999,154.88839285714286,5.346607142857143,July 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,308723,0,15.62,3588.88,3441.67,0,0,-15.62,188.88842105263157,-0.8221052631578947,July 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,14,79179,0,0,3349.71,3201.58,0,0,0,239.26500000000001,0.0,July 2022
Sub Total (i+ii),,,33,387902,0,15.62,6938.58,6643.25,0,0,-15.62,210.26,-0.47333333333333333,July 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2022
Total B -Close ended Schemes,,,145,493941,1430.03,846.83,24286.09,23210.92,0,0,583.1999999999999,167.49027586206896,4.022068965517241,July 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2964,57.01,98.77,890.51,933.89,0,0,-41.76,74.20916666666666,-3.48,July 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2022
Total C Interval Schemes,,,12,2964,57.01,98.77,890.51,933.89,0,0,-41.76,74.20916666666666,-3.48,July 2022
Grand Total,,,1280,135573653,830567.07,806962.15,3774802.9,3776911.15,15,282.07,23604.919999999925,2949.064765625,18.44134374999994,July 2022
Fund of Funds Scheme (Domestic) **,,,71,1775656,2530.26,531.3,53336.64,51391.88,0,0,1998.9600000000003,751.2202816901408,28.1543661971831,July 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,611507,526275.02,546943.09,102944.95,152639.12,0,0,-20668.06999999995,3431.4983333333334,-688.9356666666649,June 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,37,1749619,298147.68,313930.32,364492.65,405242.55,0,0,-15782.640000000014,9851.152702702704,-426.55783783783824,June 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,614710,13938.47,23996.46,86632.74,92354.06,0,0,-10057.99,3208.6200000000003,-372.51814814814816,June 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,1013889,4687.96,13220.31,99428.94,104096.56,1,0,-8532.349999999999,4519.4972727272725,-387.83409090909083,June 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,414995,20103.15,28229.27,108586.56,109588.59,0,0,-8126.119999999999,5429.3279999999995,-406.3059999999999,June 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,545864,643.32,7292.22,96256.08,99023.66,0,0,-6648.900000000001,3850.2432,-265.956,June 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,268362,150.93,1379.26,28890.94,29280.51,4,130.5,-1228.33,1805.68375,-76.770625,June 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,113016,41.67,208.83,9113.33,9165.79,0,0,-167.16000000000003,701.0253846153846,-12.85846153846154,June 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,23951,55.82,19.18,2508.48,2469.41,0,0,36.64,1254.24,18.32,June 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,224531,175.45,913.13,21667.6,22064.29,1,50.05,-737.6800000000001,866.704,-29.5072,June 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,638542,489.79,9575.81,115545.39,119144.85,0,0,-9086.019999999999,5502.161428571429,-432.667619047619,June 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,264066,158.31,640.73,26161.93,26350.39,4,66.3,-482.42,1744.1286666666667,-32.16133333333333,June 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,316076,644.95,4526.23,84974.05,87269.11,0,0,-3881.2799999999997,3862.456818181818,-176.42181818181817,June 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,173032,146.14,174.21,15120.58,15069.53,0,0,-28.07000000000002,720.027619047619,-1.3366666666666678,June 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,42765,259.42,38.74,1938.23,1799.51,0,0,220.68,484.5575,55.17,June 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,254706,1341.75,8419.69,69811.34,72309.47,0,0,-7077.9400000000005,5817.611666666667,-589.8283333333334,June 2022
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,312,7269631,867259.84,959507.47,1234073.78,1347867.4,10,246.85,-92247.63,3955.3646794871797,-295.6654807692308,June 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3389335,1378.79,408.54,53297.7,53186.6,0,0,970.25,3806.9785714285713,69.30357142857143,June 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12750858,3860.81,1730.46,212074.38,212716.1,0,0,2130.35,6841.109032258065,68.72096774193548,June 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7088163,3129.74,1135.01,105880.69,105453.08,0,0,1994.7299999999998,3921.507037037037,73.87888888888888,June 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,9132054,3041.38,1189.71,150744.39,150723.62,0,0,1851.67,5797.861153846155,71.21807692307692,June 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,8479510,2581.47,965.54,102481.52,102090.23,0,0,1615.9299999999998,4270.0633333333335,67.33041666666666,June 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,584894,145.36,78.86,9145.31,9223.11,0,0,66.50000000000001,1143.16375,8.312500000000002,June 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,4156360,1321.73,474.58,75220.51,75216.96,0,0,847.1500000000001,3419.1140909090905,38.50681818181818,June 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,5236415,2061.7,870.13,90621.98,90751.23,0,0,1191.5699999999997,3485.460769230769,45.82961538461537,June 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,118,12414900,3828.49,2150.68,141636.05,141953.06,0,0,1677.81,1200.305508474576,14.218728813559322,June 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,39,14188907,1467.18,827.12,134225.7,135193.62,0,0,640.0600000000001,3441.684615384616,16.411794871794875,June 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12074588,4720.39,2208.65,210682.47,211296.44,0,0,2511.7400000000002,6796.208709677419,81.02387096774194,June 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,366,89495984,27537.04,12039.28,1286010.69,1287804.06,0,0,15497.76,3513.6904098360656,42.34360655737705,June 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,510428,468.43,293.22,21153.44,21114.58,1,0,175.20999999999998,1007.3066666666666,8.343333333333332,June 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,32,5157150,2406.7,1276.6,140512.97,141070.16,2,9.33,1130.1,4391.0303125,35.315625,June 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,25,4358661,3589.73,1790.32,177714.13,178619.12,0,0,1799.41,7108.5652,71.9764,June 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,826549,411.98,268.1,19225.27,20383.41,0,0,143.88,1922.527,14.388,June 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,25,502918,5576.75,11170.05,95229.42,112120.53,0,0,-5593.299999999999,3809.1767999999997,-223.73199999999997,June 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,364946,590.95,525.68,16919.01,17476.08,2,25.81,65.2700000000001,769.045909090909,2.9668181818181862,June 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,135,11720652,13044.54,15323.98,470754.24,490783.88,5,35.14,-2279.4399999999987,3487.0684444444446,-16.88474074074073,June 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2696013,166.98,87.88,15673.05,15682.31,0,0,79.1,626.922,3.1639999999999997,June 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2899529,89.6,31.29,12554.0,12563.38,0,0,58.309999999999995,1255.4,5.8309999999999995,June 2022
Sub Total - IV (i+ii),,,35,5595542,256.58,119.17,28227.06,28245.69,0,0,137.40999999999997,806.4874285714286,3.9259999999999993,June 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Index Funds,Open ended Schemes,Other Schemes,94,2700762,7975.16,674.03,83407.85,79191.85,0,0,7301.13,887.3175531914894,77.67159574468086,June 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,4605088,251.71,116.88,20248.59,20121.48,0,0,134.83,1840.780909090909,12.257272727272728,June 2022
Other ETFs,Open ended Schemes,Other Schemes,124,11526763,8703.52,3344.96,398153.52,398881.59,0,0,5358.56,3210.915483870968,43.2141935483871,June 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,46,1260239,554.01,238.9,19295.93,19607.47,0,0,315.11,419.4767391304348,6.850217391304348,June 2022
Sub Total - V (i+ii+iii+iv),,,275,20092852,17484.4,4374.77,521105.89,517802.39,0,0,13109.630000000001,1894.9305090909093,47.67138181818182,June 2022
Total A-Open ended Schemes,,,1123,134174661,925582.4,991364.68,3540171.65,3672503.43,15,281.99,-65782.28000000003,3152.4235529830808,-58.577275155832616,June 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,95,79009,0,3985.02,13773.94,15621.25,0,0,-3985.02,144.98884210526316,-41.94757894736842,June 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,10,16206,0,0,801.54,801.22,0,0,0,80.154,0.0,June 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2035.51,2032.15,0,0,0,254.43875,0.0,June 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,June 2022
Sub Total (i+ii+iii+iv),,,113,95295,0,3985.02,16610.99,18454.63,0,0,-3985.02,146.9999115044248,-35.26566371681416,June 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,309684,0,17.36,3306.42,3343.54,0,0,-17.36,174.0221052631579,-0.9136842105263158,June 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,14,79199,0,0.01,3072.41,3084.24,0,0,-0.01,219.45785714285714,-0.0007142857142857143,June 2022
Sub Total (i+ii),,,33,388883,0,17.37,6378.83,6427.79,0,0,-17.37,193.29787878787877,-0.5263636363636364,June 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,June 2022
Total B -Close ended Schemes,,,146,484178,0,4002.39,22989.82,24882.41,0,0,-4002.39,157.4645205479452,-27.4136301369863,June 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2979,99.52,167.79,928.74,940.96,0,0,-68.27,77.395,-5.689166666666666,June 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,June 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,June 2022
Total C Interval Schemes,,,12,2979,99.52,167.79,928.74,940.96,0,0,-68.27,77.395,-5.689166666666666,June 2022
Grand Total,,,1281,134661818,925681.92,995534.86,3564090.2,3698326.8,15,281.99,-69852.93999999994,2782.271818891491,-54.53000780640121,June 2022
Fund of Funds Scheme (Domestic) **,,,71,1763229,2422.12,546.94,49687.5,48710.19,0,0,1875.1799999999998,699.8239436619718,26.410985915492954,June 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,May 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,May 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,585062,481769.34,466698.45,123029.97,136494.28,0,0,15070.890000000014,4100.999,502.36300000000045,May 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,37,1746868,245143.87,243366.99,378743.93,375867.95,0,0,1776.8800000000047,10236.322432432433,48.02378378378391,May 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,615426,11883.16,18988.11,96331.99,100701.29,0,0,-7104.950000000001,3567.8514814814816,-263.1462962962963,May 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,1027226,8129.58,14845.88,107762.8,111473.75,1,0,-6716.299999999999,4898.309090909091,-305.2863636363636,May 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,414354,14844.94,29443.6,116260.3,125223.32,0,0,-14598.659999999998,5813.015,-729.9329999999999,May 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,555760,1822.68,10425.71,102556.85,107755.15,0,0,-8603.029999999999,4102.274,-344.12119999999993,May 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,272693,169.38,1391.78,30036.34,30516.6,4,130.45,-1222.4,1877.27125,-76.4,May 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,113683,34.73,283.18,9258.89,9381.09,0,0,-248.45000000000002,712.2223076923076,-19.111538461538462,May 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,24068,40.33,42.58,2466.38,2472.26,0,0,-2.25,1233.19,-1.125,May 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,226595,219.75,2634.03,22342.31,22840.38,1,50.03,-2414.28,893.6924,-96.5712,May 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,645312,2755.97,4902.47,124499.51,126221.07,0,0,-2146.5000000000005,5928.548095238095,-102.21428571428574,May 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,266016,151.32,880.92,26588.78,26826.95,4,66.29,-729.5999999999999,1772.5853333333332,-48.63999999999999,May 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,320548,2397.85,3518.86,88745.18,89936.77,0,0,-1121.0100000000002,4033.871818181818,-50.95500000000001,May 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,174343,533.42,357.77,15108.84,15107.41,0,0,175.64999999999998,719.4685714285714,8.364285714285714,May 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,43242,502.96,55.64,1708.98,1565.87,0,0,447.32,427.245,111.83,May 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,256330,1951.15,7236.7,76832.59,79700.51,0,0,-5285.549999999999,6402.715833333333,-440.4624999999999,May 2022
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,312,7287526,772350.42,805072.67,1322273.65,1362084.65,10,246.77,-32722.25,4238.05657051282,-104.87900641025641,May 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,May 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3308382,1698.86,433.85,54714.45,53375.43,0,0,1265.0099999999998,3908.1749999999997,90.35785714285713,May 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12660337,4422.16,1936.8,219835.52,214430.81,0,0,2485.3599999999997,7091.468387096774,80.17290322580644,May 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,6979727,3359.37,945.86,108775.63,106027.93,0,0,2413.5099999999998,4028.727037037037,89.38925925925925,May 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,9014944,3342.32,1510.78,155831.89,152915.82,0,0,1831.5400000000002,5993.534230769232,70.44384615384617,May 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,8330982,2947.11,1178.03,104738.77,103407.67,0,0,1769.0800000000002,4364.1154166666665,73.71166666666667,May 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,579754,154.27,73.43,9565.15,9418.06,0,0,80.84,1195.64375,10.105,May 2022
